"Número de guía","Número ONU (UN / ID)","Clase o división","Peligro secundario","Grupo de embalaje","Cantidad de bultos","Tipo de embalaje","Peso neto de la mercancía peligrosa por bulto (Kg)","Unidad de medida","Peso bruto por bulto (Kg)","Instrucción de embalaje","Autorizaciones","Disposiciones especiales aplicables en el envío.","Información adicional de manipulación","Nombre apropiado de expedición"
"888005110736","1,950","2.1","NA","N/A","1","CAJA DE CARTON","5","Kilogramos","1","203","NA","NA","MIS00000580","AEROSOLS FLAMMABLE"
"888005112684","1,133","3","N/A","II","1","CAJA DE CARTON PRENSADO","7","Litros","1.5","353","N/A","N/A","MIS000080","Adhesives"
"88805112684","2,735","8","N/A","II","1","CAJA DE CARTON PRENADO","5","Litros","3.16","855","N/A","N/A","MIS0000580","Amines, liquid, corrosive, n.o.s. ★"
"111105119416","2,929","6.1","3","II","1","FIBREBOARD BOX ","1","Litros","0.6","Y641","N/A","N/A","1-800-255-3924","Toxic liquid, flammable"
"111105117391","1,133","3","N/A","II","1","FIBREBOARD BOX ","1","Litros","0.6","Y341","N/A","N/A","1-800-255-3924","Adhesives"
"111105129662","3,091","9","N/A","N/A","1","FIBREBOARD BOX","0.25","Kilogramos","5.6","970","A48","AV-08","N/A","Lithium metal batteries contained in equipment"
"111105144730","1,950","2","N/A","N/A","1","FIBREBOARD BOX","12","Kilogramos","1.2","Y203","N/A","N/A","N/A","AEROSOLS, FLAMMABLE"
"111105148860","1,263","3","N/A","II","1","FIBREBOARD BOX","5","Litros","6.6","353","N/A","N/A","18002553924","Paint related material"
"888005166975","1,950","2.1","NA","N/A","1","FIBREBOARD BOX","5","Kilogramos","2","203","NA","NA","NA","AEROSOLS, FAMMABLE"
"888005170464","1,133","3","N/A","II","1","CAJA DE CARTON PRENSADO","1","Litros","1","Y341","N/A","N/A","MIS0000580","Adhesives"
"888005167708","1,263","3","N/A","III","1","CAJA DE CARTON PRENSADO","5","Litros","1","355","N/A","N/A","MIS0000580","Paint"
"88805173814","1,263","3","N/A","II","1","CAJA DE CARTON","4","Litros","7","353","N/A","N/A","MIS0000580","Paint"
"88805172900","1,133","3","N/A","II","1","CAJA DE CARTON","7","Litros","2.5","353","N/A","N/A","MIS0000580","Adhesives"
"111105171236","1,072","2.2","5,1","N/A","1","ALUMINIUM BOX","92","Kilogramos","37.2","200","N/A","N/A","1-800-225-3924","OXIGEN,COMPRESSED"
"111105162900","3,091","9","N/A","N/A","1","FIBREBOARD BOX","35","Kilogramos","1.2","970","A48","N/A","1-800-255-3924","Lithium metal batteries contained in equipmen"
"5175413","1,133","3","N/A","II","1","FIBREBOARD BOX","1","Litros","0.6","Y341","N/A","N/A","1800255324","Adhesives"
"888005180780","3,072","9","N/A","N/A","1","CAJA DE CARTON","79","Kilogramos","10","955","N/A","N/A","N/A","Life-saving appliances, not self-inflating"
"888005175798","1,133","3","na","II","1","caja de carton","7","Litros","2","353","na","na","mis0000580","adhesives"
"888005175911","2,052","3","NA","III","1","CAJA DE CARTON","5","Litros","1","355","NA","NA","MIS00000580","DIPENTENE"
"111105186154","1,993","3","N/A","II","1","FIBREBOARD BOX ","1","Litros","1.8","Y341","N/A","N/A","1-800-255-3924","Flammable liquid, n.o.s.(Acetona,isopropanol)"
"111105184273","1,072","2.2","5,1","N/A","1","ALUMINIUM BOX ","92","Kilogramos","37","200","N/A","N/A","1-800-255-3924","Oxygen, compressed"
"111105190134","3,072","9","N/A","N/A","1","FIBREBOARD BOX","8","Kilogramos","10.8","955","A48","AV-08","N/A","Life-saving appliances, not self-inflating"
"111105187781","3,091","9","N/A","N/A","1","FIBREBOARD BOX","2","Kilogramos","5.8","970","A48","AV08","N/A","	Lithium metal batteries contained in equipment"
"111105189547","3,072","9","N/A","N/A","1","FIBREBOARD BOX","16","Kilogramos","19","955","A48","AV08","N/A","Life-saving appliances, not self-inflating"
"888005194787","1,072","2.2","N/A","N/A","1","ALUMINIUM BOX","2","Kilogramos","18","200","N/A","N/A","N/A","OXYGEN COMPRESSED "
"888005195009","1,072","2.2","5,1","N/A","1","CAJA ALUMINIO","2","Kilogramos","18","200","N/A","N/A","N/A","OXYGEN COMPRESSED "
"111105197776","2,929","6.1","3","II","1","FIBREBOARD BOX ","1","Litros","0.4","Y641","N/A","N/A","1-800-255-3924","	Toxic liquid, flammable, organic, n.o.s."
"111105197494","2,990","9","N/A","N/A","1","WOODEN BOX X ","80","Kilogramos","80","955","A48","N/A","1-800-255-3924","	Life-saving appliances, self-inflating"
"888005206004","3,091","9","NA","N/A","1","CAJA DE CARTON","1","Kilogramos","2","970","NA","NA","MIS0000580","Lithium metal batteries contained in equipment †"
"5204417","1,950","2.1","N/A","N/A","1","FIBREBOARD BOX ","28","Kilogramos","10.6","203","N/A","N/A","N/A","AROSOLS,FLAMMABLE"
"5205349","1,993","3","N/A","III","1","FIBREBOAERD BOX ","16","Litros","10","355","N/A","N/A","N/A","FLAMMABLE LIQUID,N.O.S.(HYDROCARBONS,C9-C11,N-ALKANES,CYCLICS,<2%AROMATICSBENZENESULFONIC ACID.DI-C10-14-ALKYL DERIVS,CALCIUM SALTS)"
"5211338","1,263","3","N/A","II","1","FIBREBOARD BOX ","5","Litros","9","353","N/A","N/A","N/A","PAINT"
"5206907","3,091","9","N/A","N/A","2","FIBREBOARD BOX ","37","Kilogramos","4.8","970","A48","N/A","N/A","LITHIUM METAL BATTERIS CONTAINED IN EQUIPMENT "
"5203819","1,072","2.2","(5,1)","N/A","1","ALUMINIUM BOX 2,2","22","Kilogramos","17","200","N/A","N/A","N/A","OXYGEN ,COMPRESSED "
"5203697","3,072","9","N/A","N/A","1","FIBREBOARD BOX ","16","Kilogramos","41.4","955","N/A","N/A","N/A","LIFE-SAVING APPLIANCES,NOT SELF-INFLATING"
"88800522041","1,133","3","N/A","II","1","CAJA DE CARTON ","35","Litros","1.17","353","N/A","N/A","MIS0000580","Adhesives"
"888005220417","1,263","3","N/A","II","1","CAJA DE CARTON ","4","Litros","7","353","N/A","N/A","MIS0000580","Paint"
"888005220417","1,263","3","N/A","III","1","CAJA DE CARTON ","4","Litros","1.26","355","N/A","N/A","MIS000580","Paint"
"5221439","2,795","8","N/A","N/A","1","PLASTIC BOX ","35","Kilogramos","41.8","870","N/A","A51","N/A","BATTERIES,WET ,FILLED WITH ALKALI"
"111105225397","3,259","8","N/A","III","1","FIBREBOARD BOX","1","Kilogramos","1.4","Y845","N/A","AV-08","N/A","Amines, solid, corrosive, n.o.s."
"11105224848","3,091","9","N/A","N/A","1","FIOBREBOARD BOX","25","Kilogramos","1.8","970","A48","AV-08","N/A","Lithium metal batteries contained in equipment"
"111105224641","3,091","9","N/A","N/A","1","FIBREBOARD BOX","2","Kilogramos","3.8","970","A48","AV-08","N/A","Lithium metal batteries contained in equipment"
"888000274295","1,993","3","NA","III","1","CAJA DE CARTon","4","Litros","10","y344","na","na","na","FLAMMABLE LIQUID NOS"
"111105230438","1,263","3","N/A","II","1","CAJA DE CARTON ","5","Litros","138","353","N/A","N/A","+018002553924","Paint"
"111105230438","1,263","3","N/A","II","1","CAJA DE CARTON ","5","Litros","13.8","353","N/A","N/A","+018002553924","Paint related material"
"111105230438","1,263","3","NA","III","1","CAJA DE CARTON ","1","Litros","13.08","Y344","N/A","N/A","+018002553924","Paint related material"
"111105230953","8,000","9","N/A","N/A","1","CARTON ","100","Litros","1","Y963","N/A","N/A","CRE 9L","CONSUMER COMMODITY "
"5243612","2,735","8","N/A","III","1","FIBREBOARD BOX","1","Litros","1.4","Y841","N/A","N/A","1-800-255-3924","Polyamines, liquid, corrosive, n.o.s. (Tetraetylene pentamine, Substituted piperazine)"
"5234421","3,091","9","N/A","N/A","1","FIBREBOARD BOX","25","Kilogramos","1.6","970","A48","N/A","1-800-255-3924","Lithium metal batteries contained in equipment"
"5245798","1,950","2.1","N/A","N/A","1","FIBREBOARD BOX","8","Kilogramos","0.8","Y203","N/A","N/A","1-800-255-3924","Aerosols, flammable"
"5232089","2,795","8","N/A","N/A","1","PLASTIC BOX","25","Kilogramos","32.4","870","N/A","N/A","1-800-255-3924","Batteries, wet, filled with alkali"
"5144050","1","9","N/A","N/A","1","WOODEN BOX","35","Kilogramos","80","955","N/A","N/A","1-800-255-3924","Life-saving appliances, self-inflating"
"111105250658","3,259","8","N/A","III","1","FIBREBOARD BOX","12","Kilogramos","3.3","Y845","N/A","AV-08","N/A","Amines, solid, corrosive, n.o.s."
"111105250658","1,263","3","N/A","III","1","FIBREBOARD BOX","4","Litros","3.3","Y344","A192","AV-08","N/A","Paint related material"
"111105252034","1,463","5.1","(6,1) (8)","II","1","FIBREBOARD BOX","5","Kilogramos","6.6","558","N/A","AV-08","N/A","Chromium trioxide, anhydrous"
"111105257872","1,950","2.1","N/A","N/A","1","CAJA DE CARTON ","18","Kilogramos","1.8","Y203","NA","NA","+018132480585","Aerosols, flammable"
"888005257533","2,795","8","na","N/A","1","CAJA DE CARTON","30","Kilogramos","30","870","NA","NA","MIS00000580","Batteries, wet, filled with alkali †"
"5269585","2,795","8","N/A","N/A","1","PLASTIC BOX","35","Kilogramos","25","870","N/A","N/A","N/A","BATTERIES ,WET,FILLED WITH ALKALI"
"888005273475","3,091","9","NA","N/A","1","CAJA DE CARTON","2","Kilogramos","6","970","NA","NA","MIS0000580","Lithium metal batteries contained in equipment †"
"888005275365","1,263","3","NA","III","1","CAJA DE CARTON","5","Litros","7","355","NA","NA","MIS00000580","PAINT"
"5274476","1,993","3","N/A","N/A","1","FIBREBOARD BOX ","8","Kilogramos","1.8","Y341","N/A","N/A","N/A","FLAMMABLE LIQUID,N.O,S,(TOLUENE,ISOPROPYL ALCOHOL)"
"5274476","1,950","2.1","2,1","N/A","1","FIBREBOARD BOX ","8","Kilogramos","1.8","Y203","N/A","N/A","N/A","AEROSOLS,FLAMMABLE"
"5271901","1,072","2.2","(5,1)","N/A","1","ALUMININUM BOX","3","Kilogramos","22","200","N/A","N/A","N/A","OXYGEN COMPRESSED "
"888005274189","2,735","8","na","III","1","caja de carton","2","Litros","2","852","na","na","mis00000580","Amines, liquid, corrosive, n.o.s. ★"
"5279788","3,072","9","N/A","N/A","1","FIBREBOARD BOX ","9","Kilogramos","15","955","N/A","N/A","N/A","LIFE-SAVING APLPLIANCES,NOT SELF-INFLATING"
"5277020","3,091","9","N/A","N/A","1","FIBREBOARD BOX ","25","Kilogramos","3","970","N/A","N/A","N/A","LITHIUM METAL BATTERIES CONTAINED IN EQUIPEMENT "
"5273011","2,795","8","N/A","N/A","1","PLASTIC BOX","30","Kilogramos","42","870","N/A","N/A","N/A","BATTERIES ,WET,FILLED WIHT ALKALI"
"111105281439","2,990","9","N/A","N/A","1","WOODEN BOX","35","Kilogramos","80","955","N/A","AV-08","N/A","Life-saving appliances, self-inflating"
"11110521320","3,091","9","N/A","N/A","1","FIBREBOARD BOX","25","Kilogramos","2.8","970","A48","AV-08","N/A","Lithium metal batteries contained in equipment"
"888005291060","3,091","9","NA","N/A","1","FIBREBOARD BOX","25","Kilogramos","6","970","NA","NA","NA","LITHIUM METAL BATTERIES, CONTAINED IN EQUIPMENT"
"11110288715","3,072","9","N/A","N/A","1","CAJA DE CARTON ","16","Kilogramos","19.8","955","A48","NA","018132480585","ife-saving appliances, not self-inflating"
"111105287919","3,091","9","N/A","N/A","1","CAJA DE CARTON ","2","Kilogramos","4.4","970","A48","N/A","+018132480585","Lithium metal batteries contained in equipment †"
"111105292865","3,164","2.2","N/A","N/A","1","FIBREBOARD BOX ","3","Kilogramos","4.2","208","A48","N/A","1-8000-255-3924","Articles, pressurized, pneumatic"
"888005313754","1,263","3","NA","III","1","CAJA DE CARTON","5","Litros","5","355","NA","NA","MIS00000580","Paint related material"
"888005315785","3,091","9","NA","N/A","1","CAJA DE CARTON","1","Kilogramos","6","970","NA","NA","MIS0000580","Lithium metal batteries contained in equipment †"
"111105318693","8,000","9","N/A","N/A","1","CAJA DE CARTON","0.75","Litros","4","963","N/A","N/A","+573183333463","Consumer Commodity"
"111105314037","8,000","9","N/A","N/A","1","CARTON","100","Litros","1","Y963","N/A","N/A","CRE 9L","CONSUMER COMMODITY "
"888005329164","2,795","8","N/A","N/A","1","CAJA PLASTICA","25","Kilogramos","32","870","N/A","N/A","MIS0000580","Batteries, wet, filled with alkali †"
"8880053227239","1,133","3","N/A","III","1","CAJA DE CARTON","5","Litros","6","Y344","N/A","N/A","MIS0000580","Adhesivos"
"888005327239","1,950","2.1","N/A","N/A","1","CAJA DE CARTON","31","Kilogramos","6","Y203","N/A","N/A","MIS0000580","Aerosols, flammable"
"888005330448","1,133","3","N/A","II","1","CAJA DE CARTON","1","Litros","1","Y341","N/A","N/A","MIS0000580","Adhesives"
"88800330448","1,263","3","N/A","III","1","CAJA DE CARTON","1","Litros","1","Y344","N/A","N/A","MIS0000580","Paint"
"5331119","1,950","2.1","N/A","N/A","1","FIBREBOARD BOX ","16","Litros","4.6","Y203","N/A","N/A","N/A","AEROSOLS ,FLAMMABLE"
"5324376","1,950","2.1","N/A","N/A","1","FIBREBOARD BOX ","46","Kilogramos","4.6","Y203","N/A","N/A","N/A","AEROSOLS,FLAMMABLE"
"888005340662","3,363","9","NA","N/A","1","FIBREBOARD BOX","1","Litros","21","962","NA","NA","NA","DANGEROUS GOODS IN APPARATUS"
"111105342993","1,139","3","N/A","II","1","FIBREBOARD BOX ","16","Litros","2.8","353","N/A","NA","1-800-255-3924","Coating solution"
"111105343899","1,263","3","N/A","II","1","FIBREBOARD BOX","2.5","Litros","3.2","353","N/A","N/A","1-800-255-39-24","Paint related material"
"111105342349","3,072","9","N/A","N/A","1","FIBREBOARD BOX ","18","Kilogramos","21","955","A48","N/A","1-800-255-3924","Life-saving appliances, not self-inflating"
"111105353137","1,993","3","N/A","III","1","FIBREBOARD BOX","10","Litros","12","Y344","N/A","N/","1-800-255-324","Flammable liquid, n.o.s."
"111105352768","1,139","3","N/A","II","1","FIBREBOARD BOX","1","Litros","1.4","Y341","N/A","N/A","18002553924","Coating solution"
"5352768","1,139","3","n/a","II","1","FIBREBOARD BOX ","1","Litros","1.4","Y341","N/A","N/A","1-800-255-3924","Coating solution"
"111105367761","1,263","3","N/A","III","1","FIBREBOARD BOX ","53","Litros","6","355","N/A","N/A","1-800-255-3924","Paint related material"
"111105367761","1,133","3","N/A","III","1","FIBREBOARD BOX ","7","Litros","6","355","N/A","N/A","1-800-255-3924","Adhesives"
"111105375024","3,072","9","N/A","N/A","1","FIBREBOARD BOX","25.5","Kilogramos","28.2","955","N/A","AV-08","N/A","Life-saving appliances, not self-inflating"
"111105398560","8,000","9","N/A","N/A","1","CARTON ","5,980","Litros","11","Y963","N/A","N/A","CRE 9L","CONSUMER COMMODITY "
"111105393691","1,950","2.1","N/A","N/A","1","CAJA CARTON","18","Kilogramos","1.8","Y203","N/A","N/A","18002553924","Aerosols, flammable"
"111105396031","1,993","3","N/A","N/A","1","CAJA CARTON","8","Litros","1.2","Y341","N/A","N/A","18002553924","Flammable liquid, n.o.s. ★"
"111105398792","1,866","3","N/A","II","1","CAJA CARTON","2","Litros","0.6","Y341","N/A","N/A","18002553924","Resin solution"
"888005406647","1,263","3","NA","II","1","CAJA DE CARTON","1","Litros","1","Y341","NA","NA","MIS0000580","PAINT"
"111105403019","1,263","3","N/A","III","1","FIBREBOARD BOX","3","Litros","4.2","355","N/A","AV-08","N/A","Paint related material"
"111105406397","3,091","9","N/A","N/A","1","FIBREBOARD BOX","6","Kilogramos","14.2","970","A48","AV-08","N/A","Lithium metal batteries contained in equipment"
"888005422613","3,091","9","NA","N/A","1","CAJA DE CARTON","5","Kilogramos","2","970","NA","NA","MIS0000580","Lithium metal batteries contained in equipment "
"111105397165","1,268","3","N/A","III","1","STEEL DRUM ","19","Litros","17.2","355","N/A","N/A","1-800-255-3924","Petroleum distillates, n.o.s"
"11110546511","2,795","8","N/A","N/A","1","PLASTIC BOX ","25","Kilogramos","32","870","N/A","N/A","1-800-255-3924","Batteries, wet, filled with alkali "
"111105411771","2,795","8","N/A","N/A","1.23","PLASTIC BOX ","25","Kilogramos","96","870","N/A","N/A","1-800-255-3924","Batteries, wet, filled with alkali"
"888005430822","3,091","9","N/A","N/A","1","CAJA CARTON ","2","Kilogramos","3","970","A48","N/A","N/A","LITHIUM METAL BATERIES CONTAINED IN EQUIPMENT"
"888005439643","1,072","2.2","5,1","N/A","1","ALUMINIUM BOX","95","Kilogramos","20","200","NA","NA","NA","OXYGEN COMPRESSED"
"111105440435 ","8,000","9","N/A","N/A","1","CAJA CARTON PRENSADO","5","Litros","0.7","963","N/A","112","N/A","CONSUMER COMMODITY"
"111105416428","8,000","9","N/A","N/A","1","CONTENEDOR ","500","Litros","7.6","Y963","N/A","N/A","N/A","CONUMER COMODITY"
"111105439202","3,164","2.2","N/A","N/A","1","FIBREBOARD BOX","24","Kilogramos","4","208","N/A","N/A","018002553924","Articles, pressurized, hydraulic"
"111105444804","2,795","8","N/A","N/A","1","PLASTIC BOX ","25","Kilogramos","35.1","870","N/A","N/A","1-800-255-3924","Batteries, wet, filled with alkali "
"111105444804","3,072","9","NA","N/A","1","FIBREBOARD BOX ","34","Kilogramos","35.1","955","A48","N/A","1-800-255-3924","Life-saving appliances, not self-inflating"
"111105444587","1,072","2","5.1","N/A","1","ALUMINIUM BOX ","35","Kilogramos","18","200","N/A","N/A","1-800-255-3924","Oxygen, compressed"
"888005456671","3,091","9","N/A","N/A","1","CAJA DE CARTON PRENSADO","2","Kilogramos","7","970","N/A","N/A","MIS0000580","Lithium metal batteries contained in equipment †"
"5461292","2,990","9","N/A","N/A","1","PLYWOOD BOX","78","Kilogramos","78","955","N/A","N/A","N/A","LIFE-SAVING APPLIANCES ,SELF-INFLATING"
"11110546742","1,044","2.2","N/A","N/A","2","PLASTIC BOX","4","Kilogramos","14","213","N/A","AV-08","N/A","Fire extinguishers "
"111105468695","1,072","2.2","5,1","N/A","1","ALUMINIUM BOX","9.2","Kilogramos","40.4","200","N/A","AV-08","N/A","Oxygen, compressed"
"111105490164","3,072","9","N/A","N/A","1","FIBREBOARD BOX ","12","Kilogramos","2.4","955","A48","N/A","1-800-255-3924","Life-saving appliances, not self-inflating"
"111105499809","8,000","9","n/a","N/A","1","caja de carton ","100","Litros","1","Y963","N/A","N/A","CRE9L","articulos de consumo"
"111105500189","8,000","9","N/A","N/A","1","CAJA  CARTON","250","Litros","0.5","963","N/A","112","N/A","CONSUMER COMMODITY"
"111105506711","3,072","9","N/A","N/A","1","FIBREBOARD BOX ","19","Kilogramos","20.6","955","A4","N/A","1-|800-2553924","Life-saving appliances, not self-inflating"
"888005516372","1","9","N/A","N/A","1","CAJA CARTON ","2","Kilogramos","2","970","A48","N/A","N/A","LITHIUM METAL BATTERIES CONTAINED IN EQUIPMENT "
"111105522939","2,990","9","N/A","N/A","2","WOODEN BOXEX","50","Kilogramos","47","955","A48","N/A","018002253924","Life-saving appliances, self-inflating"
"111105526028","1,072","2.2","5.1","N/A","1","PLASTIC BOX ","20","Kilogramos","46.2","200","N/A","N/A","1-800-255-3924","Oxygen, compressed"
"5531778","1,133","3","N/A","II","1","FIBREBAR BOX","2","Litros","3","353","N/A","N/A","N/A","ADHESIVES "
"5533881","1,263","3","N/A","III","3","FIBREBOARD BOX","10","Litros","57","355","N/A","N/A","N/A","PAINT"
"5533881","1,263","3","N/A","III","1","FIBREBOARD BOX","5","Litros","57","355","N/A","N/A","N/A","PAINT"
"5532727","1,263","3","N/A","III","1","FIBREBOARD BOX ","5","Litros","6","Y344","N/A","A192","N/A","PAINT RELATED MATERIAL "
"5532727","1,992","3","N/A","III","1","FIBREBOARD BOX","3","Litros","6","Y343","N/A","N/A","N/A","FLAMMABLE LIQUID TOXIC,N,O,S(ETHYL3ETHOXYPROPIONATE,DIBUTYLTIN DILAURATE)"
"111105544302","1,133","3","N/A","III","1","FIBREBOARD BOX ","1","Litros","1","Y344","N/A","N/A","1-800-255-3924","Adhesives"
"111105544302","1,263","3","N/A","II","1","FIBREBOARD BOX ","6","Litros","9","355","NA","N/A","1-800-255-3924","Paint"
"888005552657","1,133","3","n/a","III","1","caja de carton prensado","5","Litros","1","355","n/a","n/a","mis0000580","adhesives"
"888005572668","2,795","8","N/A","N/A","1","CAJA DE PLASTICO ","25","Kilogramos","30","870","N/A","N/A","CHEM TEL CHEMICAL EXPERT ASSITANCE HOTLINE 18002553924","ACUMULADORES DE ELECTROLITO LIQUIDO ALCALINO "
"11110557589","1,993","3","N/A","II","1","FIBREBOARD BOX ","5","Litros","0.6","Y341","N/A","N/A","1-800-255-3924","Flammable liquid, n.o.s"
"111105575333","1,748","5.1","N/A","II","1","FIBREBOARD BOX ","1","Kilogramos","1.4","Y544","N/A","N/A","1-800-255-3924","Calcium hypochlorite mixture, dry"
"111105575822","1,950","2.1","N/A","N/A","1","FIBREBOARD BOX ","8","Kilogramos","0.8","Y203","N/A","N/A","1-800-255-3924","Aerosols, flammable"
"111105576003","1,993","3","N/A","III","1","FIBREBOARD BOX ","5","Litros","4.1","Y344","N/A","N/A","1-800-255-3924","Flammable liquid, n.o.s."
"111105576003","1,950","2.1","N/A","N/A","1","FIBREBOARD BOX ","22","Kilogramos","4.1","Y203","N/A","N/A","1-800-255-3924","Aerosols, flammable"
"111105576792","1,263","3","N/A","III","1","CAJA DE CARTON ","25","Kilogramos","3.2","Y344","A192","N/A","+018132480585","Paint related material"
"111105561582","8,000","9","n/a","N/A","1","CAJA","200","Litros","4.7","Y963","N/A","N/A","PERFUME ","consumer comodity"
"111105586767","2,795","8","N/A","N/A","2","PLASTIC BOXES","27","Kilogramos","34","870","N/A","AV-08","N/A","Batteries, wet, filled with alkali"
"111105584749","1,956","2.2","N/A","N/A","1","FIBREBOARD BOX","8","Kilogramos","10.2","200","N/A","AV-08","N/A","Compressed gas, n.o.s."
"888005601749","1,950","2.1","NA","N/A","1","FIBREBOARD BOX","5","Kilogramos","1.5","203","NA","NA","NA","Aerosoles, inflamables"
"111105592776","3,091","9","N/A","N/A","1","FIBREBOARD BOX","4","Kilogramos","10","970","A48","N/A","01800255324","Lithium metal batteries contained in equipment"
"111105599396","3,072","9","N/A","N/A","2","FIBREBOARD BOX","52","Kilogramos","57","955","N/A","N/A","18002553924","Life-saving appliances, not self-inflating"
"888005612511","1,263","3","N/A","III","1","CAJA DE CARTON","5","Litros","8","355","N/A","N/A","MIS0000580","Paint"
"11110560928","1,072","2","5,1","N/A","1","ALUMINIUM BOX","22","Kilogramos","18","200","N/A","N/A","1-800-255-394","Oxygen, compressed"
"111105615625","8,000","9","N/A","N/A","1","CAJA CARTON","500","Litros","1.6","963","N/A","112","N/A","CONSUMER COMMODITY"
"111105616824 ","8,000","9","N/A","N/A","1","CAJA CARTON","500","Litros","3.8","963","N/A","112","N/A","CONSUMER COMMODITY"
"111105616956","8,000","9","N/A","N/A","1","CAJA  CARTON ","500","Litros","1.6","963","N/A","112","N/A","CONSUMER COMMODITY"
"111105616128","1,992","3","6,1","III","1"," ONE FIBREBOARD BOX","95","Litros","19.4","355","N/A","N/A","1-800-255-3924","Flammable liquid, toxic, n.o.s. (ethyl3 ethoxypropionate,dibutyltin dilaurate)"
"111105616128","1,263","3","N/A","III","1","ONE FIBREBOARD BOX ","1,327","Litros","19.4","355","A192","N/A","1-800-255-3924","Paint related material"
"888005629535","3,091","9","NA","N/A","1","CAJA DE CARTON","2","Kilogramos","1","970","NA","NA","MIS00000580","LITHIUM METAL BATTERIES CONTAINED IN EQUIPMENT"
"888005629754","3,091","9","NA","N/A","1","CAJA DE CARTON","25","Kilogramos","2.5","970","NA","NA","MIS0000580","Lithium metal batteries contained in equipment"
"11115636595","1,072","2.2","5.1","N/A","1","CAJA DE ALUMINIO","134","Kilogramos","42.8","200","N/A","N/A","+018132480585","Oxygen, compressed"
"888005642790","3,091","9","NA","N/A","1","CAJA DE CARTON ","25","Kilogramos","2","970","NA","NA","MIS00000580","LITHIUM METAL BATTERIES CONTAINED IN EQUIPMENT"
"11110562725","1,268","3","N/A","III","1","FRIBEBOARD BOX ","19","Litros","17.4","355","N/A","N/A","1-800-255-3924","Petroleum distillates, n.o.s."
"111105650735","8,000","9","N/A","N/A","1","CONTENEDOR ","75","Litros","5.5","Y963","N/A","N/A","PERFUME ","CONSUMER  COMODITY"
"888005660266","1,993","3","NA","III","1","CAJA DE CARTON","4","Litros","4.5","355","NA","NA","MIS0000580","Flammable liquid, n.o.s."
"111105658362","1,956","2.2","N/A","N/A","1","PLASTICBOX","74","Kilogramos","15.2","200","N/A","N/A","018002553924","Compressed gas, n.o.s. ★"
"888005669495","2,735","8","na","II","1","caja de carton","1","Litros","1","Y840","NA","NA","MIS 00000580","Amines, liquid, corrosive, n.o.s. ★"
"888005669526","3,091","9","NA","N/A","2","CAJA DE CARTON","25","Kilogramos","1","970","NA","NA","MIS00000580","Lithium metal batteries contained in equipment †"
"111105669552","1,072","2.2","5,1","N/A","1","ALUMINIUM BOX","22","Kilogramos","18.2","200","N/A","N/A","1-800-255-3924","Oxygen, compressed"
"111105680688","3,091","9","N/A","N/A","1","FIBREBOARD BOX","36","Kilogramos","0.6","970","A48","N/A","018002553924","Lithium metal batteries contained in equipment "
"111105675263","2,795","8","N/A","N/A","1","PLASTIC BOX","344","Kilogramos","41.5","870","A51","N/A","018002553924","Batteries, wet, filled with alkali"
"111105681263","1,956","2.2","N/A","N/A","2","PLASTIC BOX","9","Kilogramos","15","200","N/A","N/A","018002553924","ompressed gas, n.o.s. ★"
"888005688998","3,091","9","NA","N/A","3","CAJAS DE CARTON","25","Kilogramos","2.2","970","NA","NA","MIS0000580","Lithium metal batteries contained in equipment "
"888005688982","1,950","2.1","NA","N/A","1","CAJA DE CARTON","8","Kilogramos","1","Y203","NA","NA","MIS0000580","Aerosols, flammable"
"888005688987","3,164","2.2","NA","N/A","1"," CAJA DE CARTON","4","Litros","12.3","208","NA","A48","MIS0000580","Articles, pressurized, hydraulic"
"111105686072","2,319","3","N/A","III","1","FIBREBOARD BOX","185","Litros","18.8","355","N/A","N/A","18002553924","Terpene hydrocarbons, n.o.s."
"5701986","3,363","9","N/A","N/A","1","CAJA DE CARTON","1","Litros","1","962","N/A","N/A","N/A","DANGEROUS GOODS IN APPARATUS"
"111105700557","8,000","9","N/A","N/A","1","CAJA DECARTON","5","Litros","1.2","Y963","N/A","N/A","N/A","CONSUMER  COMMODITY"
"111105703309","1,950","2.1","N/A","N/A","1","FIBREBOARD","36","Kilogramos","3.6","Y203","N/A","N/A","18002553924","Aerosols, flammable"
"111105707065","1,263","3","N/A","II","1","FIBREBOARD","5","Litros","8","353","N/A","N/A","18002553924","Paint"
"888005713609","1,263","3","NA","III","1","FIBREBOARD BOX","5","Litros","7","355","NA","NA","NA","PAINT RALTED MATERIAL"
"111105721141","1,950","2.1","N/A","N/A","1","FIBREBOARD BOX","1","Kilogramos","1.6","Y203","N/A","N/A","18002553924","Aerosols, flammable"
"111105720923","1,950","2.1","N/A","N/A","1","FIBREBOARD BOX","16","Kilogramos","1.8","Y203","N/A","N/A","18002553924","Aerosols, flammable"
"111105703736","8,000","9","N/A","N/A","1","CONTENEDOR ","200","Litros","4.5","Y963","N/A","N/A","PERFUME","CONSUMER COMODITY"
"888005729344","3,072","9","n/a","N/A","1","CAJA DE CARTON","9","Kilogramos","11","955","N/A","N/A","N/A","Life-saving appliances, not self-inflating"
"888005729239","1,133","3","NA","II","1","CAJA DE CARTON","3","Litros","1.5","353","NA","NA","MIS0000580","ADHESIVES"
